Product_ID;Suppliercode;Category;Category_Name;Quantity;Supplier_ID;Distance;Day_of_Costumer_Order;Week_name;Month_of_Costumer_Order;Month;Year;Day_DataDDT;Day_of_week_DataDDT;Month_DataDDT;Year_DataDDT;Supplier_Lead_Time;Total_Lead_Time,
1;1837;W;Heavy items;600;1;245,0108;2;Tuesday;1;JANUARY;2018;3;4;1;2018;1;2
2;3687;N;Nutritional;3240;2;452,7476;3;Wednesday;1;JANUARY;2018;4;5;1;2018;1;2
3;3687;N;Nutritional;675;2;452,7476;3;Wednesday;1;JANUARY;2018;4;5;1;2018;1;2
3;3687;N;Nutritional;2325;2;452,7476;3;Wednesday;1;JANUARY;2018;4;5;1;2018;1;2
2;3687;N;Nutritional;1560;2;452,7476;3;Wednesday;1;JANUARY;2018;4;5;1;2018;1;2
4;5458;D;Diagnostic;200;3;169,9651;5;Friday;1;JANUARY;2018;5;6;1;2018;0;3
5;3317;V;Dialysis;150;4;426,1771;4;Thursday;1;JANUARY;2018;5;6;1;2018;1;4
6;3317;V;Dialysis;210;4;426,1771;4;Thursday;1;JANUARY;2018;5;6;1;2018;1;4
7;1837;W;Heavy items;192;1;245,0108;4;Thursday;1;JANUARY;2018;8;2;1;2018;4;5
7;1837;W;Heavy items;144;1;245,0108;4;Thursday;1;JANUARY;2018;8;2;1;2018;4;5
7;1837;W;Heavy items;120;1;245,0108;4;Thursday;1;JANUARY;2018;8;2;1;2018;4;5
8;1837;W;Heavy items;200;1;245,0108;3;Wednesday;1;JANUARY;2018;8;2;1;2018;5;6
8;1837;W;Heavy items;196;1;245,0108;3;Wednesday;1;JANUARY;2018;8;2;1;2018;5;6
9;1837;V;Dialysis;100;1;245,0108;5;Friday;1;JANUARY;2018;8;2;1;2018;3;4
10;3150;V;Dialysis;100;5;59,576;5;Friday;1;JANUARY;2018;5;6;1;2018;0;4
11;3150;V;Dialysis;180;5;59,576;5;Friday;1;JANUARY;2018;5;6;1;2018;0;4
12;3357;N;Nutritional;528;6;71,4237;4;Thursday;1;JANUARY;2018;4;5;1;2018;0;5
13;3357;N;Nutritional;180;6;71,4237;4;Thursday;1;JANUARY;2018;4;5;1;2018;0;5
14;1828;W;Heavy items;380;7;182,8138;4;Thursday;1;JANUARY;2018;8;2;1;2018;4;5
14;1828;W;Heavy items;500;7;182,8138;4;Thursday;1;JANUARY;2018;8;2;1;2018;4;5
15;499;N;Nutritional;352;8;154,9403;3;Wednesday;1;JANUARY;2018;4;5;1;2018;1;7
